번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1529370,진아네,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장, 231호",211621.339542445,437703.284225483,한식
1529371,설악옥길네,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장,236호",211621.339542445,437703.284225483,한식
1529372,문경집덕순네,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장, 234호",211621.339542445,437703.284225483,한식
1529373,삼양해장국,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장,(가-11)181,182",211621.339542445,437703.284225483,한식
1529395,이미자포차,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장, (나-4)225,226,227",211621.339542445,437703.284225483,한식
1529715,오늘돈내일까스,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장, 120호",211621.339542445,437703.284225483,경양식
1529756,자매전집,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장, (가-12)157,158호",211621.339542445,437703.284225483,한식
1529758,팔남매집,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장, 가-9 237~238호",211621.339542445,437703.284225483,한식
1529853,이모네,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장, 가-25, 261~262호",211621.339542445,437703.284225483,한식
1529854,큰이모네,영업/정상,"경기도 성남시 수정구 태평동 3681 중앙공설시장, 263호",211621.339542445,437703.284225483,한식
1529859,온도,영업/정상,경기도 성남시 수정구 태평동 3681 중앙공설시장 2층 241호,211621.339542445,437703.284225483,한식
1529860,중앙분식,영업/정상,경기도 성남시 수정구 태평동 3681 중앙공설시장 154호,211621.339542445,437703.284225483,분식
1535513,여왕피자,영업/정상,경기도 성남시 수정구 태평동 3397 1층 일부,212069.72239868,437935.892855886,경양식
1542616,나도람 치킨,영업/정상,경기도 성남시 수정구 태평동 3693-19번지 1층(일부),211696.543222288,437822.146669929,통닭(치킨)
1542682,누들보쌈&화락,영업/정상,경기도 성남시 수정구 태평동 6523 1층 104호 일부,211270.642019613,437641.335476246,한식
1542752,팬더,영업/정상,경기도 성남시 수정구 태평동 2408 1층일부호,212342.922817147,438435.622613298,분식
1542793,솥뚜껑삼겹살,영업/정상,경기도 성남시 수정구 태평동 3312 1층,212116.024749014,438100.896792958,기타
1542909,대박포차,영업/정상,경기도 성남시 수정구 태평동 3524-2번지 1층 일부,211887.461090398,437871.043032068,정종/대포집/소주방
1542928,술이 좋은날,영업/정상,경기도 성남시 수정구 태평동 3765 1(일부)층,211857.253988861,438061.350282535,정종/대포집/소주방
1543051,정인청국장보리밥,영업/정상,경기도 성남시 수정구 태평동 3387 1층,212153.92338065,437984.07910117,한식
1543192,또봉이통닭,영업/정상,경기도 성남시 수정구 태평동 3543-1번지 1층,211903.780176475,437949.718389024,통닭(치킨)
1543263,당진아구찜,영업/정상,경기도 성남시 수정구 태평동 7338-3번지 1층 일부,212560.556316593,438044.429885147,한식
1543264,걷는나무,영업/정상,경기도 성남시 수정구 태평동 6493번지 2층,211285.097549274,437712.073455856,기타
1543291,탄천한우,영업/정상,경기도 성남시 수정구 태평동 7065-3 1층,210545.633088945,437975.07498333,식육(숯불구이)
1543402,명인옛날통닭(태평역점),영업/정상,경기도 성남시 수정구 태평동 6513 101호,211272.505424926,437585.571978087,호프/통닭
1543665,영광식당,영업/정상,경기도 성남시 수정구 태평동 6507 1층,211310.557148652,437601.996679818,한식
1543921,풍년식당,영업/정상,경기도 성남시 수정구 태평동 5506번지 1층,211360.931483011,438071.34709914,정종/대포집/소주방
1543969,비에이치씨(BHC) 태평역점,영업/정상,경기도 성남시 수정구 태평동 5230 지하1층,211194.258540928,438063.971972406,호프/통닭
1544063,철뚝길 성남태평점,영업/정상,경기도 성남시 수정구 태평동 3459-3 1층,211986.565946933,437906.165186924,식육(숯불구이)
1544115,샘터족발,영업/정상,경기도 성남시 수정구 태평동 7339-7번지 1층 일부호,212621.529786808,438084.659105006,식육(숯불구이)
1544230,독막골순두부,영업/정상,경기도 성남시 수정구 태평동 6926 1층,211109.274367372,437674.858672097,한식
1544296,은성코다리,영업/정상,경기도 성남시 수정구 태평동 3412번지 2층,212160.324641031,437939.30827292,탕류(보신용)
1544872,피자알볼로 태평수진점,영업/정상,경기도 성남시 수정구 태평동 6831-1 1층,211183.508700176,437648.894615255,경양식
1545173,펀비어킹 수정로점,영업/정상,경기도 성남시 수정구 태평동 3486-1,212041.32313148,437881.231575486,호프/통닭
1545277,신평양찹쌀순대,영업/정상,경기도 성남시 수정구 태평동 3421-1번지 2층,212125.126376928,437930.193269474,한식
1545332,계절수산,영업/정상,경기도 성남시 수정구 태평동 2294 1층,212403.50048299,438459.242017183,호프/통닭
1545404,뜨끈이해장국,영업/정상,경기도 성남시 수정구 태평동 3469번지,211906.423181217,438019.346426453,한식
1545415,신라 왕족발 보쌈 찌개,영업/정상,경기도 성남시 수정구 태평동 3411번지 1층,212167.63155534,437919.740153136,한식
1545872,삼부식당,영업/정상,경기도 성남시 수정구 태평동 7250번지 1층,211022.929285754,437513.607208452,한식
1545893,국빈,영업/정상,경기도 성남시 수정구 태평동 5857-2번지 1층,211340.859535123,438033.37591937,중국식
1545927,고고싱 떡볶이,영업/정상,경기도 성남시 수정구 태평동 6413,211525.543084061,437781.588387702,분식
1545961,태평골 오겹살,영업/정상,경기도 성남시 수정구 태평동 3776 1층,211828.511345687,438136.56192934,식육(숯불구이)
