번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1440090,백년불고기물갈비강릉점,영업/정상,강원도 강릉시 교동 1820-5,365354.77156167,475601.674330109,식육(숯불구이)
1440091,김밥나라(흥업점),영업/정상,강원도 원주시 흥업면 흥업리 586-10번지,281509.770920114,422639.176100509,김밥(도시락)
1440092,홍갈비,영업/정상,강원도 원주시 개운동 380번지,284589.312530215,427387.489084321,한식
1440093,크라운호프강릉교동택지점,영업/정상,강원도 강릉시 교동 1831-2,365411.507816627,475554.685573107,호프/통닭
1440094,하누국밥,영업/정상,강원도 강릉시 포남동 1069-2,368296.542264548,476468.180423468,한식
1440095,춘천코다리,영업/정상,강원도 춘천시 사농동 274-29,263350.667418924,491518.471254779,한식
1440096,강촌식당,영업/정상,강원도 춘천시 남산면 강촌리 227-41,255683.279154441,479218.182859957,한식
1440097,중화루,영업/정상,강원도 춘천시 효자동 652,264667.237464437,486136.264252992,중국식
1440098,마음이머무는곳,영업/정상,"강원도 춘천시 효자동 684-11 남부시장지하1층 24,25호",263776.104141899,485573.469431416,한식
1440099,하마집,영업/정상,강원도 춘천시 후평동 709-20번지,265677.556819377,487031.628886133,분식
1440100,호반한우구운교점,영업/정상,강원도 춘천시 퇴계동 1189-2,263540.352748302,485014.05685326,한식
1440101,춘천세종호텔,영업/정상,강원도 춘천시 봉의동 15-3,264259.640056584,487347.859811794,한식
1440102,경포중국집,영업/정상,강원도 강릉시 안현동 867번지 진안상가 118호,367637.770114829,479556.886230551,중국식
1440103,노암막창,영업/정상,강원도 강릉시 노암동 312-17,367491.469817489,473412.805204997,식육(숯불구이)
1440104,새벽집,영업/정상,강원도 강릉시 옥천동 272,367193.245635009,474751.346137355,정종/대포집/소주방
1440105,황금도깨비찐빵왕만두,영업/정상,강원도 강릉시 옥천동 370-9,367663.709333824,474865.253262905,분식
1440106,동해동태찜전문점,영업/정상,강원도 원주시 단계동 100-27,282795.932522689,428742.729327542,한식
1440107,오광닭곰탕,영업/정상,강원도 원주시 문막읍 동화리 1261-3번지,273901.541850678,424819.701125585,한식
1440108,초콜릿,영업/정상,강원도 강릉시 포남동 1194,368760.9127842,475887.434548637,까페
