번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1375620,쪽갈비야사랑한닭,영업/정상,제주특별자치도 제주시 도련일동 1940-1 에이플러스타워,160853.382620746,2336.3300543887,한식
1375650,피자탑성산점,영업/정상,제주특별자치도 서귀포시 성산읍 성산리 392,193384.598580155,-3986.97818677743,패밀리레스트랑
1375681,봉순이딸,영업/정상,제주특별자치도 서귀포시 성산읍 성산리 392 제주 성산 리치유 클래시아,193384.598580155,-3986.97818677743,한식
1375682,흑돼지비비큐(BBQ)본점,영업/정상,제주특별자치도 서귀포시 서귀동 314-11,158889.80966999,-27594.5974769923,한식
1376270,아강,영업/정상,제주특별자치도 서귀포시 남원읍 남원리 2336-7,172480.425879045,-24050.9446150016,식육(숯불구이)
1376271,전설의감자탕앤왕돈가스,영업/정상,제주특별자치도 서귀포시 표선면 표선리 544-7,184056.671918016,-18759.306645333,한식
1376546,산방식당함덕점,영업/정상,제주특별자치도 제주시 조천읍 함덕리 272-7,169598.602932146,5010.70519556423,냉면집
1376547,콘서트,영업/정상,제주특별자치도 제주시 한림읍 한림리 1314-13,131553.849340451,-8681.70328269219,호프/통닭
1376548,후프바베큐,영업/정상,제주특별자치도 제주시 애월읍 애월리 2519-7,135844.043055655,-3337.84022452301,식육(숯불구이)
1376552,카페드버틀러(cafe de Butler),영업/정상,제주특별자치도 서귀포시 안덕면 사계리 1235-2,134354.811984851,-27761.1233914172,패밀리레스트랑
1376553,면담,영업/정상,제주특별자치도 서귀포시 하효동 905,164318.864171485,-26500.060841206,한식
1376554,돈다발기사식당,영업/정상,제주특별자치도 서귀포시 성산읍 수산리 2731,186671.179287719,-7428.11124083872,한식
1376555,칼국수연구소,영업/정상,제주특별자치도 서귀포시 성산읍 성산리 171-5,193661.628616452,-3801.89301646873,한식
1376730,알에프,영업/정상,제주특별자치도 제주시 이도이동 1180-3,156337.323703012,333.5016886374,호프/통닭
1376731,엄마순대국2호점,영업/정상,제주특별자치도 제주시 도남동 62-1 재영샤르빌,155965.470065866,-439.138162747021,한식
1376732,앤젤파스타,영업/정상,제주특별자치도 제주시 이도이동 1176-24,156307.822170034,598.321512765994,경양식
1376933,도순맛집,영업/정상,제주특별자치도 서귀포시 도순동 822,150842.33711587,-26930.8676826447,한식
1376944,제니키친팩토리,영업/정상,제주특별자치도 서귀포시 대정읍 하모리 919-3,130327.108751033,-30239.8001867369,한식
1376993,진1926서귀포월드컵점,영업/정상,제주특별자치도 서귀포시 강정동 207-7,153717.699935463,-26868.4156464538,식육(숯불구이)
1376994,부가네얼큰이동홍점,영업/정상,제주특별자치도 서귀포시 동홍동 422-3,160290.166791939,-26592.5001605785,호프/통닭
1376995,춘목원하루한끼,영업/정상,제주특별자치도 서귀포시 서귀동 276-19,159202.793900667,-27294.1347502921,일식
1377027,크레이지제이제이바(Crazy JJ bar),영업/정상,제주특별자치도 서귀포시 중문동 2007-4,146509.856094617,-26979.1371098483,호프/통닭
1377038,빌레못,영업/정상,제주특별자치도 제주시 애월읍 곽지리 186,137109.86767988,-5801.92478455646,기타
1377039,큰아들떡볶이외도점,영업/정상,제주특별자치도 제주시 외도일동 533-14,147332.6359041,-666.581838476841,분식
1377040,교래공간,영업/정상,제주특별자치도 제주시 용담이동 779-6,154030.256999831,1242.34608935031,기타
1377041,포시즌스,영업/정상,제주특별자치도 제주시 용담이동 2621-10 유경빌딩,154261.570470806,711.892260480259,분식
1377076,우리들의별포차,영업/정상,제주특별자치도 제주시 조천읍 함덕리 1252-9,168884.764706198,5155.09645891309,한식
1377077,십화점,영업/정상,제주특별자치도 제주시 한경면 신창리 301,123717.096554735,-15965.7698038575,기타
